order_id,partner_name,sku,quantity,unit_price,currency,order_date,ship_to_city,ship_to_country
PO-20250001,Acme Corp,SKU-1001,24,95.12,EUR,2025-09-04,Austin,US
PO-20250002,Acme Corp,SKU-5005,3,198.49,CAD,2025-09-01,New York,US
PO-20250003,Acme Corp,SKU-2002,8,170.59,USD,2025-09-09,Austin,US
PO-20250004,Soylent,SKU-4004,8,152.19,GBP,2025-09-01,Austin,US
PO-20250005,Initech,SKU-3003,9,55.94,EUR,2025-09-06,New York,US
PO-20250006,Acme Corp,SKU-4004,4,122.63,GBP,2025-09-10,Toronto,CA
PO-20250007,Acme Corp,SKU-4004,18,45.9,CAD,2025-09-02,Berlin,DE
PO-20250008,Umbrella,SKU-5005,12,194.18,EUR,2025-09-02,New York,US
PO-20250009,Globex,SKU-3003,3,81.28,USD,2025-09-07,Toronto,CA
PO-20250010,Initech,SKU-3003,6,126.3,GBP,2025-09-04,Toronto,CA
PO-20250011,Acme Corp,SKU-5005,21,61.07,EUR,2025-09-03,London,GB
PO-20250012,Initech,SKU-3003,21,230.49,EUR,2025-09-11,Toronto,CA
PO-20250013,Acme Corp,SKU-2002,2,108.36,CAD,2025-09-05,New York,US
PO-20250014,Globex,SKU-5005,23,108.11,EUR,2025-09-11,London,GB
PO-20250015,Initech,SKU-4004,5,91.79,EUR,2025-09-04,Berlin,DE
PO-20250016,Soylent,SKU-3003,24,196.55,CAD,2025-09-10,London,GB
PO-20250017,Umbrella,SKU-2002,5,171.96,CAD,2025-09-02,New York,US
PO-20250018,Acme Corp,SKU-2002,21,57.42,CAD,2025-09-10,New York,US
PO-20250019,Initech,SKU-4004,20,158.37,GBP,2025-09-09,New York,US
PO-20250020,Acme Corp,SKU-5005,25,92.43,GBP,2025-09-02,Toronto,CA
